hseq,useq,sex,age,height,weight,meal_type,no_egg,no_milk,no_bean,no_shellfish,no_ingredient,purpose,diet_type,vegetarian,served_date,served_number,fseq,food_name,food_kcal,food_carb,food_prt,food_fat
229,640,m,32,171.0,71.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,221,나쵸칩연어까나페,248.26003,33.3439,11.907901,8.0838
230,524,m,44,164.0,53.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:46 KST 2024,1,273,돼지고기(삼겹살)김밥,899.75,40.4185,41.138,62.571495
231,390,f,22,162.0,57.0,snack,n,n,n,y,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,351,프렌치 토스트,837.8,49.621994,57.401997,43.343998
232,433,m,33,173.0,74.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,234,스파이시 글레이즈 피칸,1699.56,93.5582,30.370998,145.65039
233,310,m,37,163.0,65.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,452,또띠아고구마치즈롤,1127.6299,143.3457,45.1092,41.0795
234,693,m,53,165.0,64.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,191,김치볶음밥,731.7701,74.675606,27.34,38.1115
235,622,m,34,168.0,61.0,snack,n,n,n,y,없음,bulkup,all,4,Mon May 27 09:12:46 KST 2024,1,410,곤약구이,870.30005,265.55704,8.997499,10.169
236,766,f,47,164.0,63.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,213,토스트,279.6,38.755,8.004,11.354
237,766,f,47,164.0,63.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:46 KST 2024,1,542,마늘빵과 알리오올리오,1658.6799,277.2725,39.2104,49.507698
238,949,m,42,162.0,76.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,458,단호박 크랜배리 샐러드,419.66,30.1971,2.8927,33.482
239,949,m,42,162.0,76.0,snack,n,n,n,n,없음,diet,all,0,Mon May 27 09:12:46 KST 2024,1,232,봄동비빔국수,337.66998,50.048702,7.8513002,12.507299
240,696,m,15,179.0,64.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:46 KST 2024,1,583,연두부크림치즈딥,1118.8899,55.3681,18.5936,93.660194
241,632,m,36,171.0,71.0,snack,n,n,n,n,없음,all,all,2,Mon May 27 09:12:47 KST 2024,1,192,쿠키 버터,1231.0,194.83,26.509998,48.11
242,816,m,43,169.0,58.0,snack,n,n,n,n,없음,bulkup,all,5,Mon May 27 09:12:47 KST 2024,1,621,알리오올리오라이스,850.6,63.088,8.1645,61.293
243,628,f,24,157.0,54.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:47 KST 2024,1,614,허니버터고구마스틱,585.65,120.33151,5.4630003,12.1575
244,628,f,24,157.0,54.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:47 KST 2024,1,467,라면볶이,989.25,132.92259,42.360104,32.333103
245,952,m,41,151.0,59.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:47 KST 2024,1,517,두부무침,923.70996,58.6639,41.581497,59.455803
246,997,f,39,179.0,63.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:47 KST 2024,1,532,콘치즈식빵,810.02,44.869602,32.887,55.086998
247,713,m,44,179.0,66.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:47 KST 2024,1,531,렌틸콩 카레라이스,1053.4,191.56,51.522,23.181
248,713,m,44,179.0,66.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:47 KST 2024,1,310,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
249,798,f,42,171.0,58.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:47 KST 2024,1,386,두부카나페,594.85,63.3,24.977,28.919998
250,798,f,42,171.0,58.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:47 KST 2024,1,226,베리크림치즈크레이프,2654.28,386.41772,66.069496,91.459595
251,657,m,44,180.0,62.0,snack,n,n,n,n,없음,bulkup,all,0,Mon May 27 09:12:47 KST 2024,1,330,훈제오리전골,890.1,17.775,135.80101,28.005
252,317,m,45,180.0,67.0,snack,n,n,n,n,없음,bulkup,all,2,Mon May 27 09:12:47 KST 2024,1,623,사과비빔국수,1067.9601,184.79192,20.636,27.700298
253,344,f,28,160.0,56.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:47 KST 2024,1,38,감자 그라탕,500.25,35.1558,23.555498,28.6157
254,344,f,28,160.0,56.0,snack,n,n,n,n,없음,all,all,1,Mon May 27 09:12:47 KST 2024,1,215,카라멜 크루통,2376.1,483.42102,49.736004,31.995998
255,499,f,24,160.0,57.0,snack,n,n,n,n,없음,all,all,0,Mon May 27 09:12:47 KST 2024,1,271,츄러스,2915.18,363.75052,86.4095,144.5775
